Job Title,Job Description,Job Location,Employer Brand Name,Salary Lower Range,Salary Upper Range,Shift Timings,Calling Hours,Accommodation Provided,English Proficiency,Additional Perks,Active,Create Date,Job Post Id,Employer Id
Assistant Restaurant Manager / Assistant Outlet Manager,"- Support the manager in day-to-day operations and staff management. 
- Assist in inventory control and order supplies. 
- Ensure compliance with health and safety standards. 
- Handle customer feedback and resolve any issues.",Ahmedabad,Kovallam,27000.00,30000.00,01:00 PM - 11:00 PM, - ,true,GOOD,Food & accommodation by company,true,2025-02-10 10:12:50.188,4c8bdf5c-a456-4312-86c7-1dfe66fe2eed,ec22b2fb-39d1-4334-b28b-7dfbbad63639
Continental Chef (Commi),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.","Lower Parel, Mumbai",The Nutcracker,21600.00,24000.00, - , - ,false,BEGINNER,Service Charge,false,2024-05-27 13:03:31.013,4cf0cbda-942e-4a39-82cd-0b69929cb754,f905a6db-e4eb-41d3-8b82-79cc5cf8fd9c
Fast Food Chef (Commi),"- Prepare and cook a variety of fast food items, including burgers, sandwiches, and fries.
- Ensure efficient and timely food preparation.
- Maintain cleanliness and organization in the fast food kitchen section.
- Collaborate with the kitchen team for efficient service.",Gurgaon,Desi Samosas,16000.00,18000.00,09:00 AM - 09:00 PM, - ,true,BEGINNER,,false,2024-09-04 12:17:02.577,4d4068fc-2a1e-4fe9-9c60-a58738c1c81e,30829b49-627d-4e7c-93f9-58ba9b77c27c
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Navrangpura Ahmedabad,Cuppuccino ,12500.00,13000.00,10:00 AM - 11:00 PM, - ,true,BEGINNER,3 hrs Break daily and 4 off will start after 1 month ,false,2023-11-07 00:00:00.0,4d42df67-0160-4d31-99b3-cbb28ec3db6a,d3d22d7f-e7fe-46f2-8a42-69f07305f468
Captain,"- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.",Ahmedabad,Chinese Wok Express ,14000.00,16000.00,11:00 AM - 12:00 PM, - ,true,EXPERT,"Food and accommodation
Nagotiable ",false,2023-10-28 00:00:00.0,4da9ce69-9cf6-43b7-877c-4e85e2743087,8b978113-fd78-44fd-afab-96bedf9e60db
Restaurant Manager / Outlet Manager,"- Support the manager in day-to-day operations and staff management. 
- Assist in inventory control and order supplies. 
- Ensure compliance with health and safety standards. 
- Handle customer feedback and resolve any issues.","Navrangpura, Ahmedabad",Kovallam,27000.00,32000.00, - ,10:00 AM - 8:00 PM,true,GOOD,,false,2023-12-18 00:00:00.0,4debfbea-70d9-4f69-85b8-9514477f7a07,ec22b2fb-39d1-4334-b28b-7dfbbad63639
Waffle Maker,"Prepare and cook waffles to order, ensuring consistency and excellence. Maintain a clean and organized workstation. Follow recipes and café standards for waffle preparation. Assist with inventory management and ingredient prep. Provide friendly, efficient customer service.",Waakad Pune,7th Avenue Waffles,15000.00,20000.00,11:00 AM - 11:00 PM,09:00 AM - 08:00 PM,true,GOOD,,false,2024-08-12 10:01:56.748,4e5614ec-80b3-4504-a478-d050ca9b6b09,b150e661-98b3-49ec-a718-d3d3f92677f2
Continental Chef (Commi),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.","Mahalaxmi, Mumbai",Sage and Saffron,18000.00,21000.00,12:00 PM - 10:00 PM, - ,false,GOOD,Service Charge,false,2024-10-09 11:31:53.726,4e5bbd0c-1524-41c9-9247-4b89168a0b86,e95dfd4f-746f-4f37-a9d1-65b6d6c0a581
Housekeeping Supervisor,"- Supervise the cleaning and sanitization of guest rooms to meet high standards. 
- Supervise Housekeeping Associates. 
- Ensure cleanliness and orderliness in public areas. 
- Ensure smooth functioning of all Housekeeping sub-departments 
- Ensure guest requests promptly and maintain a guest-centric approach.",Ahmedabad,Hotel flourish international ,17000.00,20000.00,07:00 AM - 05:00 PM, - ,true,BEGINNER,,true,2025-01-13 12:02:07.388,4ebd0eb9-b6bd-417d-9d4b-b93087b15537,d15af900-85bb-4cf5-ab46-01a2929e00f4
Cashier,"- Handle cash transactions accurately and process payments. 
- Maintain an organized cash register and reconcile cash drawer. 
- Ensure proper billing and issue receipts. 
- Assist customers with any payment-related inquiries.",Jaipur,Anandji Sweets ,10000.00,15000.00,07:00 AM - 05:00 PM, - ,false,GOOD,"Overtime payment 
Food will be provided",false,2024-06-23 07:09:13.839,4f13646d-1bef-4691-8d6b-cc9fe161e9c6,b2179d6b-643a-4669-8c47-a9d0e586d2b5
Continental Chef (DCDP / CDP),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.",New Delhi,DeliBombay ,20000.00,25000.00,12:00 PM - 10:00 AM, - ,false,BEGINNER,Lunch and Dinner as prepared for STAFF.,false,2024-04-19 11:40:32.064,4fbc6b11-69eb-43ef-8fb1-749252edeb07,39135bfa-8ba6-4cc7-aa1f-caff8386c242
Indian (Curry) Chef (Commi),"- Prepare and cook a variety of Indian curry dishes, including biryanis, curries, and kebabs.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Indian curry kitchen section.
- Collaborate with other chefs for coordinated service.","Gandhidham, Gujarat",Wee Cafe,18000.00,20000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,Food + Accommodation,true,2025-03-21 10:46:09.505,5053abd7-aec9-4f93-b3b0-6ba5eb0478fd,73453a4f-4ee6-4cb9-b2d7-72ed31b9c8c4
Continental Chef (DCDP / CDP),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.","Andheri East , Mumbai",Fresh Food Therapy,30000.00,35000.00, - , - ,false,BEGINNER,food is provided,true,2025-04-02 12:01:04.401,5076bc32-9369-4624-8fbc-b0525feeac09,4980a2fa-8855-42d8-a51d-7a49d62b319a
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.",Ahmedabad,Turquoise Villa ,18000.00,23000.00,11:00 AM - 11:00 PM, - ,false,GOOD,,true,2025-04-28 10:23:01.581,507e6187-d106-4e61-90f1-7e2810bd5947,78e30343-026c-478f-99c1-3f9e22dcdf98
South Indian Chef (Commi),"- Prepare and cook South Indian cuisine dishes, including dosas, idlis, and curries.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the South Indian kitchen section.
- Collaborate with other chefs for coordinated service.","Gandhidham, Gujarat",Wee Cafe,20000.00,24000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,Food + Accommodation,true,2025-03-21 10:42:44.225,50fce86b-9f43-4055-bfb5-c456a5d4fea2,73453a4f-4ee6-4cb9-b2d7-72ed31b9c8c4
Line Cooks / Commi,"- Prepare and cook menu items according to established recipes and standards.
- Maintain cleanliness and organization in the kitchen area.
- Ensure food quality, taste, and presentation.
- Follow food safety and sanitation guidelines.",South Delhi,DeliBombay ,12000.00,15000.00,12:00 PM - 10:00 PM, - ,false,BEGINNER,Lunch Dinner as prepared for Staff,false,2024-04-20 16:57:43.299,511cec72-3806-475f-a2cc-f400e2006f86,39135bfa-8ba6-4cc7-aa1f-caff8386c242
Kitchen Helper,"- Assist in food preparation, such as chopping vegetables and preparing ingredients. 
- Assist in cooking and assembling dishes. 
- Clean and sanitize kitchen utensils, equipment, and work areas. 
- Follow food safety and hygiene standards. 
- Receive and store incoming supplies and ingredients.","Panjrapole, Ahmedabad",Turquoise Villa,13000.00,14000.00, - , - ,false,GOOD,,true,2025-05-17 13:51:19.308,5165eee6-464a-483a-a924-4dd1e8480fe5,19246a50-d69e-47a1-9789-70512c7b21ab
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Ahmedabad,Cuppuccino ,11000.00,12000.00,10:00 AM - 11:00 PM, - ,true,EXPERT,With break duty,false,2024-03-18 06:29:00.805,51f2440a-d5db-496b-b0f2-4623a68c0631,d3d22d7f-e7fe-46f2-8a42-69f07305f468
Chaat Chef (Sous Chef),"- Prepare and assemble a variety of Indian street food snacks and chaats. 
- Create flavorful chutneys, sauces, and garnishes. 
- Maintain consistency and authenticity of chaat flavors. 
- Coordinate with the kitchen team for timely preparation and service. 
- Ensure cleanliness and hygiene in the preparation area.",Ahmedabad,Exquisitto ,12000.00,15000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,,false,2023-10-17 00:00:00.0,52509c40-2a7e-499e-b09e-8a826e725c37,0e449547-351c-4217-94ed-131091a690c4
Captain,"- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.","Andheri west, Mumbai",Kaasa's Pizza,17000.00,20000.00, - ,10:00 AM - 8:00 PM,true,GOOD,,false,2023-09-15 00:00:00.0,5260a605-2c79-4f8a-8ddf-274b204e1093,4cf6cba5-3be7-4d35-ab98-aeb41f81452c
Continental Chef (DCDP / CDP),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.","Khar West, Mumbai",Apero by Malvika,27000.00,31000.00, - , - ,false,GOOD,Food Provided,true,2025-01-16 07:41:03.43,527e9faa-f361-4726-92ce-b06f96d62e8d,65331f92-3b84-4d6b-9ae3-2ac8f3400d32
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.","Adani Shantigram, Ahmedabad",Oliver Brown,18000.00,20000.00, - ,10:00 AM - 8:00 PM,false,GOOD,,false,2024-01-28 00:00:00.0,528ef015-a4af-4a63-84d6-cba77ff27fda,3bdeb8be-31cf-4ca1-88a7-37acfe639e44
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Ahmedabad,Chinese Wok Express ,11000.00,12000.00,11:00 AM - 12:00 PM, - ,true,EXPERT,Food and accommodation ,false,2023-10-28 00:00:00.0,52b20d87-d967-445a-a1c7-54b4a4a31cb2,8b978113-fd78-44fd-afab-96bedf9e60db
Indian (Curry) Chef (Commi),"- Prepare and cook a variety of Indian curry dishes, including biryanis, curries, and kebabs.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Indian curry kitchen section.
- Collaborate with other chefs for coordinated service.","Baner, Pune",The Warm Belly Cloud Kitchen,22000.00,25000.00, - ,10:00 AM - 06:00 PM,true,BEGINNER,,true,2025-03-19 11:14:03.263,52bde9b3-1f2e-4ca0-aa78-323a79e00b00,b39afa43-e9b4-4aa8-9816-c9e17d5b3696
Crew Member,"- Assist in food preparation, cooking, and assembly. 
- Serve customers with a friendly and efficient attitude. 
- Clean and maintain the dining area and equipment. 
- Follow food safety and hygiene standards.","Church Street, Bangalore",Good Flippin Burgers,16000.00,18000.00, - , - ,false,GOOD,Food Allowance,false,2025-01-06 12:10:14.953,52bdf109-75c1-41bc-98b9-00529df71daa,de4ce4ff-e928-4e67-98c7-65e7730aa346
Chinese Chef (Commi),"- Prepare and cook Chinese cuisine dishes, including stir-fries, noodles, and dim sum.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in 
the Chinese kitchen section.
- Collaborate with other chefs for coordinated service.",Mehsana gujarat,PUNJABI CHAAP CORNER MULTI CUISINE RESTAURANT ,18000.00,20000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,"ACCOMMODATION WILL BE PROVIDED 
FOOD WILL BE PROVIDED 
30 DAYS DUTY",false,2024-02-23 00:00:00.0,52db3b9b-8d9a-47c1-8160-475173113302,eec81416-bb7c-4726-b9a2-afdabca15c67
Operations Manager,"- Manage and optimize daily operations for efficient functioning. 
- Develop and implement operational policies and procedures. 
- Monitor performance, productivity, and customer satisfaction. 
- Coordinate with various departments to achieve organizational goals.","Vadodara, Gujarat",Tomato's,45000.00,55000.00, - , - ,true,GOOD,Travel Allowance,false,2025-01-23 11:19:30.918,533b5a14-a2ce-4b92-899c-40dfc29c9bdd,b5712534-c78c-42a9-9f7e-ed4636ca0423
Cashier,"- Handle cash transactions accurately and process payments. 
- Maintain an organized cash register and reconcile cash drawer. 
- Ensure proper billing and issue receipts. 
- Assist customers with any payment-related inquiries.","Science City, Ahemdabad",Lilac Food Co.,13000.00,15000.00,08:00 AM - 08:00 PM,10:00 AM - 07:00 PM,true,GOOD,,false,2024-03-20 12:22:20.535,53ee3412-a09b-4690-86e2-58fb116e3b37,784558dd-50b0-40a3-a422-147b657a2e98
Captain,"- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.","Crossword, Mithakali Ahmedabad",Roastea,20000.00,23000.00, - ,10:00 AM - 8:00 PM,false,GOOD,,false,2023-12-04 00:00:00.0,542560bc-62d1-454d-b9c4-638888d61c83,01ae0af8-6290-4fba-af59-0d42f1ca9ae6
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",South Bopal,Southern Express Cafe,12000.00,14000.00,11:00 AM - 11:00 PM,09:00 AM - 07:00 PM,true,BEGINNER,,false,2024-05-04 13:56:35.163,54683a9b-9c50-41f1-8e6b-bfcbb2a5d282,cc202fdf-4ecc-4553-b335-dde7df197881
Tandoor Chef (Commi),"- Prepare and cook tandoori dishes, including naan, kebabs, and grilled meats.
- Operate and maintain tandoor oven for optimal cooking.
- Maintain cleanliness and organization in the tandoor section.
- Collaborate with the kitchen team for efficient service.",Mehsana Gujarat,PUNJABI CHAAP CORNER MULTI CUISINE RESTAURANT ,17000.00,18000.00,12:00 PM - 11:00 PM, - ,true,BEGINNER,Incentive will be provided after joining of 4 months,false,2023-12-04 00:00:00.0,546b7e6c-d66f-49f6-ad21-77af5507f6e6,eec81416-bb7c-4726-b9a2-afdabca15c67
Shift Manager / Shift Supervisor,"- Ensure timely preparation and delivery of orders. 
- Coordinate between the kitchen and front of house staff. 
- Lead and manage the team on shift.. 
- Billing & settlements 
- Manage timing and efficiency of food preparation. 
- Handle communication and troubleshooting during service.",Ahmedabad,Roastea,22000.00,25000.00, - , - ,false,GOOD,,false,2024-05-11 07:17:08.062,55352d24-afc4-4895-8825-13afc497734a,01ae0af8-6290-4fba-af59-0d42f1ca9ae6
Front Office Executive,"- Manage guest check-ins, check-outs, and reservations efficiently.
- Handle guest inquiries and ensure prompt resolution of issues.
- Maintain records of daily operations and front desk activities.
- Coordinate with other departments to ensure guest satisfaction.
- Uphold professional standards in guest interactions and appearance.",Ahmedabad,Sodexo,28000.00,35000.00, - , - ,true,EXPERT,"Allowances, PF & Bonus",true,2025-05-10 13:10:48.497,55490ca1-88b3-419c-94f1-3430af666b28,26117c3d-6df9-406d-ad2c-58f436872551
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.","Mahalaxmi, Mumbai",Twenty Seven Bakehouse,20000.00,25000.00,07:00 AM - 11:00 PM, - ,false,EXPERT,,true,2025-05-23 14:52:18.211,555d6274-c32d-40f0-b8ac-d14b02ca4168,9290bacd-c2b4-4578-9147-719d787cb207
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Mehsana gujarat,PUNJABI CHAAP CORNER MULTI CUISINE RESTAURANT ,10000.00,11000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,,false,2024-03-19 05:20:14.057,55959421-4518-4fbb-b1fb-9cad227fd56f,eec81416-bb7c-4726-b9a2-afdabca15c67
Tandoor Chef (Commi),"- Prepare and cook tandoori dishes, including naan, kebabs, and grilled meats.
- Operate and maintain tandoor oven for optimal cooking.
- Maintain cleanliness and organization in the tandoor section.
- Collaborate with the kitchen team for efficient service.",Ahmedabad,Date with mate ,17000.00,20000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,,false,2023-11-05 00:00:00.0,56d976db-57ae-4d30-9183-488a0bb4dd5b,2864fa42-5093-480f-b21d-0f03b3a1f58e
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Palghar,Breeze The Rooftop Cafe,12000.00,15000.00,11:00 AM - 11:00 AM, - ,true,BEGINNER,"2 Hours break 
Food & Accommodation 
Weekly off 
",true,2024-08-29 07:26:16.262,5703269f-760c-493c-bf93-1efe9c9a0a7f,fc249300-65d1-499c-b4bc-76430c776e99
Bartender,"- Mix and serve a variety of drinks or beverages. 
- Take orders, engage with customers, and make recommendations. 
- Ensure accurate billing and handle cash transactions. 
- Maintain bar cleanliness and inventory",Ahemdabad,Pink palette,15.00,18.00,11:00 AM - 03:00 AM, - ,true,BEGINNER,"Shoft timings are 11 to 3 and 6 to 11
",false,2023-10-06 00:00:00.0,58048225-e1f4-4902-a0e9-ffdf0511d88c,e4414d0f-c374-409f-92d3-1b49b684be2b
Pizza Maker,"- Prepare and cook pizzas, ensuring the right dough consistency and toppings.
- Operate pizza ovens and monitor cooking times for optimal results.
- Maintain cleanliness and organization in the pizza section.
- Collaborate with the kitchen team for efficient service.","Koramangala, Bengaluru",Roastea,23000.00,25000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2024-03-12 00:00:00.0,5826799d-12f3-4d15-a4d6-3503f7188f1c,97cf8b75-3748-4eec-bc02-6cff1b12d01a
Tandoor Chef (DCDP / CDP),"- Prepare and cook tandoori dishes, including naan, kebabs, and grilled meats.
- Operate and maintain tandoor oven for optimal cooking.
- Maintain cleanliness and organization in the tandoor section.
- Collaborate with the kitchen team for efficient service.",Jaipur,Pearl Palace,30000.00,33000.00,10:00 AM - 10:00 PM,08:00 AM - 09:00 PM,true,GOOD,,false,2024-11-30 11:34:20.065,58d1cda2-86c0-49fd-b9d1-0d19a3d18691,ba582051-f8be-4782-b656-bcc418657443
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.","Breach Candy, Mumbai",The Nutcracker,18000.00,22000.00,01:00 PM - 11:00 PM, - ,false,EXPERT,Service Charges,true,2025-05-05 09:29:26.567,58e5d019-11b6-4990-b833-8f1fe9969f8a,46019804-9536-4faa-a4a5-6ffb7f4309a3
Captain,"- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.","Chandkheda , Ahmedabad",522 Restaurants ,24000.00,28000.00, - , - ,true,GOOD,,true,2025-07-02 07:10:35.487,590c5a2f-948e-494e-b148-a510321c91fd,78e333fb-2258-495d-aeff-3f3c02bc6a8a
Dishwasher / KST (Kitchen Stewarding) / Moriwala,"- Operate and maintain dishwashing equipment, ensuring cleanliness and functionality.
- Wash and sanitize dishes, glassware, and utensils.
- Assist with kitchen cleaning and organization.
- Follow health and safety regulations.",BANSWARA Rajasthan,DANPUR MISHTHAN BHANDAR ,8000.00,10000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,"Free luch , breakfast, dinner",false,2024-03-21 04:57:24.803,591ef95b-4216-45bd-87ec-536eebdb11d4,c38763e8-b279-4b17-82c8-e718045a8b8e
Purchase Manager,"- Manage the procurement process and vendor relationships.
- Source, evaluate, and negotiate with suppliers.
- Develop and implement procurement strategies.
- Ensure cost-effective purchasing and timely delivery.","Rajkot, Gujarat",Bizz Hotel,25000.00,30000.00,12:00 PM - 10:00 PM, - ,true,GOOD,,false,2024-10-24 10:14:51.719,59412d12-f83b-4512-a205-60f2ab95b024,02edb69a-1754-4b5e-ae67-16459561514d
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.","Lower Parel, Mumbai",Twenty Seven Bakehouse,17000.00,22000.00, - ,10:00 AM - 8:00 PM,false,GOOD,Service Charge & Tips,false,2023-09-05 00:00:00.0,596861a9-f07e-4879-958c-cb0f5d28e38f,9290bacd-c2b4-4578-9147-719d787cb207
Restaurant Manager / Outlet Manager,"- Oversee overall restaurant/venue operations, including staff, customer service, and profitability. 
- Develop and implement business strategies to meet goals. 
- Maintain quality standards, cleanliness, and adherence to regulations. 
- Manage budgets, analyze financial reports, and control costs.",Mumbai,Raju Ki Chai,27000.00,30000.00,10:00 AM - 07:00 PM,07:00 AM - 07:00 PM,false,GOOD,,false,2024-10-25 06:12:49.83,597096a4-2c9f-44d3-9dfe-e78bc12c9a03,52e3ab76-c07e-4635-8a68-bf1fb3fc03fe
Captain,"- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.","Judges Bunglow, Ahmedabad",Oven Magick,18000.00,20000.00, - , - ,false,BEGINNER,,false,2024-05-08 05:32:05.773,59e4e400-d9fa-4c5d-aca8-1a6b94c976b7,36e520b7-8f9d-4d46-8c8e-bfbce2958452
Continental Chef (Commi),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.
",Nadiad,Lotus Bistro Lounge,15000.00,20000.00,02:00 PM - 11:00 PM, - ,true,BEGINNER,,false,2024-05-21 11:55:59.251,59e4ed60-5559-4ccc-af59-42d162063d49,7230dd2f-d0f6-4ed0-8b95-c4d8b536da3f
Tandoor Chef (DCDP / CDP),"- Prepare and cook tandoori dishes, including naan, kebabs, and grilled meats.
- Operate and maintain tandoor oven for optimal cooking.
- Maintain cleanliness and organization in the tandoor section.
- Collaborate with the kitchen team for efficient service.","VIP Rd, Raipur, Chhattisgarh",Six Degrees,30000.00,35000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2023-10-31 00:00:00.0,5a17a5b2-e79e-460c-8786-cd0a918ea340,d199bd43-323a-46a9-821a-945bb54e25d4
Indian (Curry) Chef (Commi),"- Prepare and cook a variety of Indian curry dishes, including biryanis, curries, and kebabs.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Indian curry kitchen section.
- Collaborate with other chefs for coordinated service.",Bengaluru,BroastKhan,16000.00,20000.00,12:00 AM - 12:00 PM, - ,true,GOOD,"Food
Accomodation",true,2024-12-09 08:46:31.728,5a19fe25-56e0-4583-aa59-0e2c2c824796,017f6e95-dd17-4382-b43b-674d2e0b1c54
Bakery & Pastry Chef (Commi),"- Prepare and bake a variety of pastries, cakes, and desserts.
- Create and develop new pastry recipes.
- Decorate and present pastries in an aesthetically pleasing manner.
- Maintain cleanliness and hygiene in the pastry section.","Parel East, Mumbai",The Nutcracker,21000.00,24000.00, - , - ,false,BEGINNER,Service Charge,false,2024-05-27 13:26:23.472,5a1e0366-8005-4633-8d09-dc1c5bff8d41,46019804-9536-4faa-a4a5-6ffb7f4309a3
Cashier,"- Handle cash transactions accurately and process payments. 
- Maintain an organized cash register and reconcile cash drawer. 
- Ensure proper billing and issue receipts. 
- Assist customers with any payment-related inquiries.","Spectrum mall,Noida",Dravidam Cafe,18000.00,22000.00, - , - ,false,GOOD,,true,2025-04-21 09:09:37.697,5a9fe609-6a86-4b50-9311-f00c9f79cb89,081ebaf4-788b-4b06-8d68-55a01a29d445
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.",Ahmedabad,Sodexo,32000.00,35000.00,11:00 AM - 11:00 PM,09:00 AM - 08:00 PM,true,GOOD,,false,2024-12-06 10:36:12.774,5b0c6540-6634-4eb3-b454-b56045507a66,c84186b0-55c6-4a2c-8f06-cb0afc3e518f
Continental Chef (DCDP / CDP),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.",Ahmedabad one mall,Roastea,25000.00,28000.00, - ,10:00 AM - 8:00 PM,true,GOOD,,false,2023-12-04 00:00:00.0,5b83e8bc-b804-4cc5-8825-83756e15685d,01ae0af8-6290-4fba-af59-0d42f1ca9ae6
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.","Paldi, Ahmedabad",Akshar Cruise,17000.00,20000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2023-09-05 00:00:00.0,5c393d02-d858-4ec0-b53c-f9de3208c653,ed3aad3e-ddea-4d98-a4db-3ace7db5f127
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.","Bhachau, Kutch",Hotel Shiv International,10000.00,15000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2023-09-05 00:00:00.0,5c4d63be-8550-40ea-ac23-110c1a246540,d65cb18c-fbb3-495e-8859-0affc43e21b4
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.","Hathroi, Jaipur, Rajasthan",Native Cocktail Room Jaipur,20000.00,25000.00,11:00 AM - 11:00 PM,09:00 AM - 09:00 PM,true,GOOD,,false,2024-06-03 06:14:55.678,5c83b7d7-3466-4062-9004-f7506439fb5f,e1827155-8ddc-400f-8bac-02ba5e81793f
South Indian Chef (DCDP / CDP),"- Prepare and cook South Indian cuisine dishes, including dosas, idlis, and curries.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the South Indian kitchen section.
- Collaborate with other chefs for coordinated service.","Sindhubhavan, Ahmedabad",Gidima,25000.00,30000.00,11:00 AM - 11:00 PM,09:00 AM - 08:00 PM,true,BEGINNER,,true,2024-09-26 11:28:40.987,5d0b9262-d95b-4af9-8d93-3b8e79832911,0d4c81c6-bd65-480d-9e19-0fb09de74c12
